scenario_nr	par_space	w_corr	N	nC	I	missing	method	Tissues	PD	LCI	UCI	parspace	shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	global	0.539	0.508104663032955	0.569895336967045	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.037	0.0253006402209287	0.0486993597790714	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.028	0.0177750724567843	0.0382249275432157	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.033	0.0219281983206359	0.0440718016793641	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.035	0.023609421802694	0.0463905781973061	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.033	0.0219281983206359	0.0440718016793641	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.037	0.0253006402209287	0.0486993597790714	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.405	0.374574754901287	0.435425245098713	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.211	0.185711223378535	0.236288776621465	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.1	0.0814061490308632	0.118593850969137	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.086	0.0686231755161698	0.10337682448383	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.1	0.0814061490308632	0.118593850969137	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.096	0.0777413811503959	0.114258618849604	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.078	0.0613788582657797	0.0946211417342203	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.1	0.0814061490308632	0.118593850969137	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.649	0.619418240791067	0.678581759208933	Two context Heterogeneity	Shared
26	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.41	0.379516416078061	0.440483583921939	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global	0.636	0.606178647199935	0.665821352800066	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.032	0.0210916074314397	0.0429083925685603	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.049	0.0356206076526052	0.0623793923473948	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.035	0.023609421802694	0.0463905781973061	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.036	0.0244538323711558	0.0475461676288442	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.033	0.0219281983206359	0.0440718016793641	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.029	0.0185994404510178	0.0394005595489823	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.519	0.488032631068506	0.549967368931494	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.268	0.240548187207245	0.295451812792755	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.103	0.0841607796896275	0.121839220310372	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.129	0.108224474215212	0.149775525784788	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.1	0.0814061490308632	0.118593850969137	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.104	0.0850801030989183	0.122919896901082	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.105	0.0859999712454236	0.124000028754576	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.092	0.0740863151739933	0.109913684826007	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.766	0.739759602806808	0.792240397193192	Two context Heterogeneity	Shared
27	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.516	0.485026119201569	0.546973880798431	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global	0.786	0.760580544075924	0.811419455924076	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.061	0.0461664259266171	0.0758335740733829	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.058	0.0435126971410326	0.0724873028589674	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.055	0.0408698965960763	0.0691301034039237	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.044	0.0312883075936492	0.0567116924063508	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.055	0.0408698965960763	0.0691301034039237	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.048	0.0347508754149401	0.0612491245850599	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.677	0.648016976662536	0.705983023337464	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.403	0.372599006280557	0.433400993719443	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.138	0.11662327023433	0.15937672976567	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.135	0.113820142734509	0.156179857265491	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.133	0.111953326674435	0.154046673325565	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.119	0.0989317489226701	0.13906825107733	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.14	0.118493916162826	0.161506083837174	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.118	0.0980049088968677	0.137995091103132	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.859	0.837429797152005	0.880570202847995	Two context Heterogeneity	Shared
28	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.622	0.591946906447317	0.652053093552683	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global	0.943	0.928630509644698	0.957369490355302	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.108	0.0887627762670808	0.127237223732919	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.095	0.0768266837888849	0.113173316211115	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.095	0.0768266837888849	0.113173316211115	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.085	0.067715051062283	0.102284948937717	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.072	0.0559790477011041	0.0880209522988959	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.094	0.0759126010989531	0.112087398901047	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.88	0.859859045418221	0.900140954581779	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.632	0.602109681723311	0.661890318276689	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.19	0.165685384796283	0.214314615203717	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.185	0.160933509734692	0.209066490265308	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.169	0.145773062291394	0.192226937708606	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.159	0.136335577835639	0.181664422164361	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.164	0.14105050392378	0.18694949607622	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.16	0.137277938792854	0.182722061207146	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.971	0.960599440451018	0.981400559548982	Two context Heterogeneity	Shared
29	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.832	0.808827953303143	0.855172046696857	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global	0.999	0.99704101624257	1.00095898375743	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.224	0.198159378141222	0.249840621858778	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.199	0.174254804616657	0.223745195383343	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.235	0.208720763719425	0.261279236280575	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.182	0.158085547813306	0.205914452186694	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.221	0.195283435122243	0.246716564877757	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.195	0.170443677018363	0.219556322981637	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.998	0.995230965546241	1.00076903445376	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.944	0.929749565652333	0.958250434347667	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.312	0.283284286799473	0.340715713200527	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.304	0.275490506438771	0.332509493561229	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.34	0.310639765679345	0.369360234320655	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.277	0.249263150873266	0.304736849126735	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.322	0.293040512368161	0.350959487631839	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.288	0.259933753725583	0.316066246274418	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.999	0.99704101624257	1.00095898375743	Two context Heterogeneity	Shared
30	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.975	0.965323453159602	0.984676546840398	Two context Heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	global	0.954	0.941016218621398	0.966983781378602	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.927	0.910876868794952	0.943123131205048	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.224	0.198159378141222	0.249840621858778	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.039	0.0270010819179063	0.0509989180820937	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.02	0.0113228695477361	0.0286771304522639	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.089	0.0713517241713798	0.10664827582862	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.178	0.154292050092666	0.201707949907334	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.37	0.340076028821298	0.399923971178702	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.352	0.322398963005242	0.381601036994758	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.984	0.976223115812036	0.991776884187964	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.344	0.314557191653765	0.373442808346235	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.078	0.0613788582657797	0.0946211417342203	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.06	0.0452806835251378	0.0747193164748622	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.16	0.137277938792854	0.182722061207146	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.304	0.275490506438771	0.332509493561229	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.537	0.5060952148034	0.5679047851966	Weaker extensive heterogeneity	Shared
31	alt	0	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.512	0.481019174718814	0.542980825281186	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	global	0.989	0.982535386282976	0.995464613717024	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.981	0.972538265487566	0.989461734512434	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.284	0.256051160982337	0.311948839017663	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.056	0.0417495656523328	0.0702504343476672	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.029	0.0185994404510178	0.0394005595489823	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.1	0.0814061490308632	0.118593850969137	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.251	0.224126399258163	0.277873600741837	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.486	0.455022398749343	0.516977601250657	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.45	0.419165586463793	0.480834413536207	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.995	0.990628357558885	0.999371642441114	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.414	0.383472090216727	0.444527909783273	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.084	0.0668076410141165	0.101192358985884	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.056	0.0417495656523328	0.0702504343476672	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.17	0.146718465694892	0.193281534305108	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.359	0.329267985901401	0.388732014098599	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.635	0.605161197775943	0.664838802224057	Weaker extensive heterogeneity	Shared
32	alt	0.2	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.601	0.570649085948795	0.631350914051205	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	global	0.997	0.993610338758416	1.00038966124158	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T1	0.995	0.990628357558885	0.999371642441114	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.432	0.401298179213821	0.462701820786179	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.071	0.0550821238114451	0.0869178761885549	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.045	0.0321513933510544	0.0578486066489456	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.143	0.121302658689718	0.164697341310282	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.35	0.32043766109206	0.37956233890794	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.671	0.641878931891196	0.700121068108804	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.608	0.57774181219093	0.63825818780907	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	0.997	0.993610338758416	1.00038966124158	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.556	0.525205229497335	0.586794770502666	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.103	0.0841607796896275	0.121839220310372	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.066	0.0506115989283204	0.0813884010716796	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.215	0.189537435076908	0.240462564923092	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.465	0.434086266512791	0.495913733487209	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.772	0.74599695756679	0.79800304243321	Weaker extensive heterogeneity	Shared
33	alt	0.4	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.715	0.687021557027116	0.742978442972884	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	global	1	1	1	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T1	1	1	1	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.623	0.592962568773691	0.653037431226309	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.107	0.0878413144559408	0.126158685544059	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.046	0.0330162186213977	0.0589837813786023	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.231	0.204877348843403	0.257122651156597	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.592	0.561539359860384	0.622460640139616	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.868	0.847020510353208	0.888979489646792	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.81	0.785685384796283	0.834314615203717	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	1	1	1	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.706	0.677762638957251	0.734237361042749	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.141	0.119429797152005	0.162570202847995	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.071	0.0550821238114451	0.0869178761885549	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.294	0.265762638957251	0.322237361042749	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.672	0.642901563832018	0.701098436167982	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.928	0.911979047701104	0.944020952298896	Weaker extensive heterogeneity	Shared
34	alt	0.6	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.869	0.848088093566368	0.889911906433633	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global_eQTL_unadjusted	1	1	1	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	global	1	1	1	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T1	1	1	1	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T2	0.923	0.906476794504529	0.939523205495471	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T3	0.217	0.191451886377211	0.242548113622789	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T4	0.048	0.0347508754149401	0.0612491245850599	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T5	0.444	0.413205229497335	0.474794770502666	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T6	0.9	0.881406149030863	0.918593850969137	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T7	0.994	0.989213512727833	0.998786487272167	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T8	0.991	0.985146627363496	0.996853372636504	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T1_nominal	1	1	1	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T2_nominal	0.947	0.933114516224868	0.960885483775132	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T3_nominal	0.251	0.224126399258163	0.277873600741837	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T4_nominal	0.062	0.0470532987192395	0.0769467012807605	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T5_nominal	0.491	0.460015269131247	0.521984730868753	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T6_nominal	0.92	0.903185382276035	0.936814617723965	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T7_nominal	0.995	0.990628357558885	0.999371642441114	Weaker extensive heterogeneity	Shared
35	alt	0.8	698	8	1000	OneK1K missing	FastGxC	p.value_T8_nominal	0.996	0.992087919742433	0.999912080257567	Weaker extensive heterogeneity	Shared
36	alt	0	698	8	1000	OneK1K missing	FastGxC	global_eQTL	1	1	1	Extensive heterogeneity	Shared
